dataset,column_name,measure_dimension,is_temporal,is_spatial
weather1,northeast,dimension,false,true
weather1,southwest,dimension,false,true
weather1,wmo_id,dimension,false,false
weather1,id,dimension,false,false
weather1,name,dimension,false,false
weather1,elevation,dimension,false,false
weather1,lat,dimension,false,true
weather1,lng,dimension,false,true
weather1,state,dimension,false,true
weather1,date,dimension,true,false
weather1,station,dimension,false,false
weather1,prcp,measure,false,false
weather1,snow,measure,false,false
weather1,snwd,measure,false,false
weather1,tmax,measure,false,false
weather1,tmax_f,measure,false,false
weather1,tmin,measure,false,false
weather1,tmin_f,measure,false,false
weather1,fog,measure,false,false
weather1,heavyfog,measure,false,false
weather1,thunder,measure,false,false
weather1,icepellets,measure,false,false
weather1,hail,measure,false,false
weather1,glaze,measure,false,false
weather1,dust,measure,false,false
weather1,smoke,measure,false,false
weather1,blowingsnow,measure,false,false
weather1,tornado,measure,false,false
weather1,highwinds,measure,false,false
weather1,blowingspray,measure,false,false
weather1,mist,measure,false,false
weather1,drizzle,measure,false,false
weather1,freezingdrizzle,measure,false,false
weather1,rain,measure,false,false
weather1,freezingrain,measure,false,false
weather1,snowgeneral,measure,false,false
weather1,unknownprecipitation,measure,false,false
weather1,n_a,measure,false,false
weather1,groundfog,measure,false,false
weather1,icefog,measure,false,false
birdstrikes1,index_nr,measure,false,false
birdstrikes1,opid,dimension,false,false
birdstrikes1,operator,dimension,false,false
birdstrikes1,atype,dimension,false,false
birdstrikes1,ama,dimension,false,false
birdstrikes1,amo,dimension,false,false
birdstrikes1,ema,dimension,false,false
birdstrikes1,emo,dimension,false,false
birdstrikes1,ac_class,dimension,false,false
birdstrikes1,ac_mass,dimension,false,false
birdstrikes1,num_engs,dimension,false,false
birdstrikes1,type_eng,dimension,false,false
birdstrikes1,eng_1_pos,dimension,false,false
birdstrikes1,eng_2_pos,dimension,false,false
birdstrikes1,eng_3_pos,dimension,false,false
birdstrikes1,eng_4_pos,dimension,false,false
birdstrikes1,reg,dimension,false,false
birdstrikes1,flt,dimension,false,false
birdstrikes1,remains_collected,measure,false,false
birdstrikes1,remains_sent,measure,false,false
birdstrikes1,incident_date,dimension,true,false
birdstrikes1,incident_month,dimension,true,false
birdstrikes1,incident_year,dimension,true,false
birdstrikes1,time_of_day,dimension,true,false
birdstrikes1,time,dimension,true,false
birdstrikes1,airport_id,dimension,false,false
birdstrikes1,airport,dimension,false,false
birdstrikes1,state,dimension,false,true
birdstrikes1,faaregion,dimension,false,true
birdstrikes1,enroute,dimension,false,false
birdstrikes1,runway,dimension,false,false
birdstrikes1,location,dimension,false,true
birdstrikes1,height,dimension,false,false
birdstrikes1,speed,dimension,false,false
birdstrikes1,distance,dimension,false,false
birdstrikes1,phase_of_flt,dimension,false,false
birdstrikes1,damage,measure,false,false
birdstrikes1,str_rad,measure,false,false
birdstrikes1,dam_rad,measure,false,false
