dataset|fracitonIncomingEdges|fractionBranches|fractionOutgoingEdges|fractionSelfLoops|isBranchRoot|stateId|task|totalBranches|totalEdges|totalIncomingEdges|totalInteractions|totalOutgoingEdges|totalSelfLoops|userid
birdstrikes1|0.0|0|1.0|0.0|False|0|t1|0|1|0|11|1|0|01
birdstrikes1|0.16666666666666666|0|0.16666666666666666|0.6666666666666666|False|1|t1|0|6|1|11|1|4|01
birdstrikes1|0.2|0|0.0|0.8|False|2|t1|0|5|1|11|0|4|01
birdstrikes1|0.25|1.0|0.5|0.25|True|0|t1|2|4|1|25|2|1|05
birdstrikes1|0.5|0|0.5|0.0|False|1|t1|0|2|1|25|1|0|05
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|2|t1|0|3|1|25|1|1|05
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|25|1|0|05
birdstrikes1|0.1111111111111111|0|0.1111111111111111|0.7777777777777778|False|4|t1|0|9|1|25|1|7|05
birdstrikes1|0.5|0|0.5|0.0|False|5|t1|0|2|1|25|1|0|05
birdstrikes1|0.5|0|0.5|0.0|False|6|t1|0|2|1|25|1|0|05
birdstrikes1|0.5|0|0.5|0.0|False|7|t1|0|2|1|25|1|0|05
birdstrikes1|0.5|0|0.5|0.0|False|8|t1|0|2|1|25|1|0|05
birdstrikes1|0.5|0|0.5|0.0|False|9|t1|0|2|1|25|1|0|05
birdstrikes1|0.3333333333333333|0|0.16666666666666666|0.5|False|10|t1|0|6|2|25|1|3|05
birdstrikes1|0.3333333333333333|1.0|0.6666666666666666|0.0|True|0|t1|2|3|1|24|2|0|09
birdstrikes1|0.5|1.0|0.5|0.0|True|1|t1|4|8|4|24|4|0|09
birdstrikes1|0.25|0|0.16666666666666666|0.5833333333333334|False|2|t1|0|12|3|24|2|7|09
birdstrikes1|0.4|0|0.4|0.2|False|3|t1|0|5|2|24|2|1|09
birdstrikes1|0.4|0|0.4|0.2|False|4|t1|0|5|2|24|2|1|09
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|5|t1|0|3|1|24|1|1|09
birdstrikes1|0.0|0|1.0|0.0|False|0|t1|0|1|0|17|1|0|109
birdstrikes1|0.5|0|0.5|0.0|False|1|t1|0|2|1|17|1|0|109
birdstrikes1|0.5|0|0.5|0.0|False|2|t1|0|2|1|17|1|0|109
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|17|1|0|109
birdstrikes1|0.18181818181818182|1.0|0.18181818181818182|0.6363636363636364|True|4|t1|2|11|2|17|2|7|109
birdstrikes1|0.5|0|0.5|0.0|False|5|t1|0|2|1|17|1|0|109
birdstrikes1|0.3333333333333333|0|0.0|0.6666666666666666|False|6|t1|0|3|1|17|0|2|109
birdstrikes1|0.4|1.0|0.6|0.0|True|0|t1|3|5|2|22|3|0|13
birdstrikes1|0.5|0.5|0.5|0.0|True|1|t1|2|8|4|22|4|0|13
birdstrikes1|0.42857142857142855|0|0.42857142857142855|0.14285714285714285|False|2|t1|0|7|3|22|3|1|13
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|4|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|5|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|6|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|7|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|8|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|9|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|10|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|11|t1|0|2|1|22|1|0|13
birdstrikes1|0.5|0|0.5|0.0|False|12|t1|0|2|1|22|1|0|13
birdstrikes1|1.0|0|0.0|0.0|False|13|t1|0|1|1|22|0|0|13
birdstrikes1|0.3333333333333333|1.0|0.5|0.16666666666666666|True|0|t1|3|6|2|42|3|1|25
birdstrikes1|0.5|1.0|0.5|0.0|True|1|t1|2|4|2|42|2|0|25
birdstrikes1|0.4|1.0|0.4|0.2|True|2|t1|2|5|2|42|2|1|25
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|42|1|0|25
birdstrikes1|0.3333333333333333|1.0|0.25|0.4166666666666667|True|4|t1|3|12|4|42|3|5|25
birdstrikes1|0.25|0|0.25|0.5|False|5|t1|0|16|4|42|4|8|25
birdstrikes1|0.5|0|0.5|0.0|False|6|t1|0|2|1|42|1|0|25
birdstrikes1|0.5|0|0.5|0.0|False|7|t1|0|2|1|42|1|0|25
birdstrikes1|0.5|0|0.5|0.0|False|8|t1|0|2|1|42|1|0|25
birdstrikes1|0.5|0|0.5|0.0|False|9|t1|0|2|1|42|1|0|25
birdstrikes1|0.5|0|0.5|0.0|False|10|t1|0|2|1|42|1|0|25
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|11|t1|0|3|1|42|1|1|25
birdstrikes1|0.5|0|0.5|0.0|False|12|t1|0|2|1|42|1|0|25
birdstrikes1|0.5|0|0.5|0.0|False|13|t1|0|2|1|42|1|0|25
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|14|t1|0|3|1|42|1|1|25
birdstrikes1|0.0|0|1.0|0.0|False|0|t1|0|1|0|2|1|0|29
birdstrikes1|1.0|0|0.0|0.0|False|1|t1|0|1|1|2|0|0|29
birdstrikes1|0.0|0|1.0|0.0|False|0|t1|0|1|0|16|1|0|33
birdstrikes1|0.5|1.0|0.5|0.0|True|1|t1|2|4|2|16|2|0|33
birdstrikes1|0.5|0.6666666666666666|0.5|0.0|True|2|t1|2|6|3|16|3|0|33
birdstrikes1|0.5|0.6666666666666666|0.5|0.0|True|3|t1|2|6|3|16|3|0|33
birdstrikes1|0.25|0|0.125|0.625|False|4|t1|0|8|2|16|1|5|33
birdstrikes1|0.0|0|1.0|0.0|False|0|t1|0|1|0|9|1|0|37
birdstrikes1|0.5|0|0.5|0.0|False|1|t1|0|2|1|9|1|0|37
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|2|t1|0|3|1|9|1|1|37
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|9|1|0|37
birdstrikes1|0.5|0|0.5|0.0|False|4|t1|0|2|1|9|1|0|37
birdstrikes1|0.3333333333333333|0|0.0|0.6666666666666666|False|5|t1|0|3|1|9|0|2|37
birdstrikes1|0.3333333333333333|1.0|0.6666666666666666|0.0|True|0|t1|2|3|1|27|2|0|53
birdstrikes1|0.5|0|0.5|0.0|False|1|t1|0|2|1|27|1|0|53
birdstrikes1|0.5|0|0.5|0.0|False|2|t1|0|2|1|27|1|0|53
birdstrikes1|0.2|0|0.2|0.6|False|3|t1|0|5|1|27|1|3|53
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|4|t1|0|3|1|27|1|1|53
birdstrikes1|0.3333333333333333|1.0|0.3333333333333333|0.3333333333333333|True|5|t1|2|6|2|27|2|2|53
birdstrikes1|0.5|1.0|0.5|0.0|True|6|t1|2|4|2|27|2|0|53
birdstrikes1|0.5|0|0.5|0.0|False|7|t1|0|2|1|27|1|0|53
birdstrikes1|0.5|0|0.5|0.0|False|8|t1|0|2|1|27|1|0|53
birdstrikes1|0.5|0|0.5|0.0|False|9|t1|0|2|1|27|1|0|53
birdstrikes1|0.5|0|0.5|0.0|False|10|t1|0|2|1|27|1|0|53
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|11|t1|0|3|1|27|1|1|53
birdstrikes1|0.5|0|0.5|0.0|False|12|t1|0|2|1|27|1|0|53
birdstrikes1|0.3333333333333333|0|0.3333333333333333|0.3333333333333333|False|13|t1|0|3|1|27|1|1|53
birdstrikes1|0.5|0|0.5|0.0|False|14|t1|0|2|1|27|1|0|53
birdstrikes1|1.0|0|0.0|0.0|False|15|t1|0|1|1|27|0|0|53
birdstrikes1|0.3333333333333333|1.0|0.6666666666666666|0.0|True|0|t1|2|3|1|18|2|0|57
birdstrikes1|0.5|0|0.5|0.0|False|1|t1|0|2|1|18|1|0|57
birdstrikes1|0.5|0|0.5|0.0|False|2|t1|0|2|1|18|1|0|57
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|18|1|0|57
birdstrikes1|0.5|0|0.5|0.0|False|4|t1|0|2|1|18|1|0|57
birdstrikes1|0.08333333333333333|0|0.0|0.9166666666666666|False|5|t1|0|12|1|18|0|11|57
birdstrikes1|0.3333333333333333|1.0|0.6666666666666666|0.0|True|0|t1|2|3|1|57|2|0|61
birdstrikes1|0.4|1.0|0.4|0.2|True|1|t1|2|5|2|57|2|1|61
birdstrikes1|0.375|0.6666666666666666|0.375|0.25|True|2|t1|2|8|3|57|3|2|61
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|57|1|0|61
birdstrikes1|0.16666666666666666|1.0|0.16666666666666666|0.6666666666666666|True|4|t1|2|12|2|57|2|8|61
birdstrikes1|0.09090909090909091|0|0.06060606060606061|0.8484848484848485|False|5|t1|0|33|3|57|2|28|61
birdstrikes1|0.2|0|0.2|0.6|False|6|t1|0|5|1|57|1|3|61
birdstrikes1|0.5|0|0.5|0.0|False|7|t1|0|2|1|57|1|0|61
birdstrikes1|0.0|0|1.0|0.0|False|0|t1|0|1|0|15|1|0|73
birdstrikes1|0.5|0|0.5|0.0|False|1|t1|0|2|1|15|1|0|73
birdstrikes1|0.5|0|0.5|0.0|False|2|t1|0|2|1|15|1|0|73
birdstrikes1|0.5|0|0.5|0.0|False|3|t1|0|2|1|15|1|0|73
birdstrikes1|0.5|0|0.5|0.0|False|4|t1|0|2|1|15|1|0|73
