dataset|leaves|leavesNotNormalized|maxBranchingFactor|maxBranchingFactorNotNormalized|maxDepth|maxDepthNotNormalized|meanAspectRatio|meanBranchingFactor|meanBranchingFactorNotNormalized|meanDepth|meanDepthNotNormalized|task|totalInteractions|totalNodes|userid
birdstrikes1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t1|11|3|01
birdstrikes1|0.16666666666666666|2|0.16666666666666666|2.0|0.08333333333333333|1.0|0.23404255319148937|0.0763888888888889|0.9166666666666666|0.3263888888888889|3.9166666666666665|t1|25|12|05
birdstrikes1|0.7142857142857143|5|0.5714285714285714|4.0|0.2857142857142857|2.0|0.5454545454545454|0.12244897959183673|0.8571428571428571|0.22448979591836735|1.5714285714285714|t1|24|7|09
birdstrikes1|0.2857142857142857|2|0.2857142857142857|2.0|0.7142857142857143|5.0|0.3|0.12244897959183673|0.8571428571428571|0.40816326530612246|2.857142857142857|t1|17|7|109
birdstrikes1|0.07692307692307693|2|0.07692307692307693|2.0|0.46153846153846156|12.0|0.15923566878980894|0.03698224852071006|0.9615384615384616|0.23224852071005916|6.038461538461538|t1|22|26|13
birdstrikes1|0.26666666666666666|4|0.13333333333333333|2.0|0.4666666666666667|7.0|0.2692307692307692|0.06222222222222222|0.9333333333333333|0.2311111111111111|3.466666666666667|t1|42|15|25
birdstrikes1|0.5|1|0.5|1.0|0.5|1.0|1.0|0.25|0.5|0.25|0.5|t1|2|2|29
birdstrikes1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|16|5|33
birdstrikes1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t1|9|6|37
birdstrikes1|0.1875|3|0.125|2.0|0.4375|7.0|0.26785714285714285|0.05859375|0.9375|0.21875|3.5|t1|27|16|53
birdstrikes1|0.3333333333333333|2|0.3333333333333333|2.0|0.6666666666666666|4.0|0.4545454545454546|0.1388888888888889|0.8333333333333334|0.3055555555555556|1.8333333333333333|t1|18|6|57
birdstrikes1|0.25|2|0.25|2.0|0.625|5.0|0.3181818181818182|0.109375|0.875|0.34375|2.75|t1|57|8|61
birdstrikes1|0.1|1|0.1|1.0|0.9|9.0|0.2|0.09|0.9|0.45|4.5|t1|15|10|73
birdstrikes1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|13|5|77
birdstrikes1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t1|17|6|81
birdstrikes1|0.5|1|0.5|1.0|0.5|1.0|1.0|0.25|0.5|0.25|0.5|t1|2|2|85
birdstrikes1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|5|5|97
birdstrikes1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|5|4|01
birdstrikes1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|10|4|05
birdstrikes1|0.42857142857142855|6|0.2857142857142857|4.0|0.35714285714285715|5.0|0.33333333333333337|0.0663265306122449|0.9285714285714286|0.1989795918367347|2.7857142857142856|t2|21|14|09
birdstrikes1|0.4|2|0.4|2.0|0.6|3.0|0.5|0.16|0.8|0.32|1.6|t2|17|5|109
birdstrikes1|0.5|2|0.5|2.0|0.5|2.0|0.75|0.1875|0.75|0.25|1.0|t2|16|4|13
birdstrikes1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|10|4|25
birdstrikes1|0.4|2|0.4|2.0|0.4|2.0|0.6666666666666667|0.16|0.8|0.24|1.2|t2|13|5|29
birdstrikes1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|27|4|33
birdstrikes1|0.25|2|0.25|2.0|0.75|6.0|0.2692307692307692|0.109375|0.875|0.40625|3.25|t2|15|8|37
