dataset|maxCycleLength|maxPathLength|meanCycleLength|meanLengthOfAppearance|meanPathLength|minCycleLength|minPathLength|task|totalBranchRoots|totalCycles|totalInteractions|totalSelfLoops|totalStates|userid
birdstrikes1|0||0|||0||t1|0.0|0|11|0.7272727272727273|3|01
birdstrikes1|0.44||0.44|||0.44||t1|0.09090909090909091|1|25|0.48|11|05
birdstrikes1|0.125||0.125|||0.125||t1|0.3333333333333333|1|24|0.4166666666666667|6|09
birdstrikes1|0||0|||0||t1|0.14285714285714285|0|17|0.5294117647058824|7|109
birdstrikes1|0.13636363636363635||0.11363636363636363|||0.09090909090909091||t1|0.14285714285714285|2|22|0.045454545454545456|14|13
birdstrikes1|0.23809523809523808||0.19047619047619047|||0.14285714285714285||t1|0.26666666666666666|2|42|0.40476190476190477|15|25
birdstrikes1|0||0|||0||t1|0.0|0|2|0.0|2|29
birdstrikes1|0||0|||0||t1|0.6|0|16|0.3125|5|33
birdstrikes1|0||0|||0||t1|0.0|0|9|0.3333333333333333|6|37
birdstrikes1|0.18518518518518517||0.18518518518518517|||0.18518518518518517||t1|0.1875|1|27|0.2962962962962963|16|53
birdstrikes1|0.1111111111111111||0.1111111111111111|||0.1111111111111111||t1|0.16666666666666666|1|18|0.6111111111111112|6|57
birdstrikes1|0.10526315789473684||0.10526315789473684|||0.10526315789473684||t1|0.5|1|57|0.7368421052631579|8|61
birdstrikes1|0||0|||0||t1|0.0|0|15|0.26666666666666666|10|73
birdstrikes1|0||0|||0||t1|0.0|0|13|0.6153846153846154|5|77
birdstrikes1|0||0|||0||t1|0.0|0|17|0.6470588235294118|6|81
birdstrikes1|0||0|||0||t1|0.0|0|2|0.0|2|85
birdstrikes1|0||0|||0||t1|0.0|0|5|0.0|5|97
birdstrikes1|0||0|||0||t2|0.0|0|5|0.2|4|01
birdstrikes1|0||0|||0||t2|0.0|0|10|0.6|4|05
birdstrikes1|0.2857142857142857||0.20634920634920637|||0.09523809523809523||t2|0.4|3|21|0.14285714285714285|10|09
birdstrikes1|0||0|||0||t2|0.2|0|17|0.47058823529411764|5|109
birdstrikes1|0.125||0.125|||0.125||t2|0.25|1|16|0.6875|4|13
birdstrikes1|0||0|||0||t2|0.0|0|10|0.6|4|25
birdstrikes1|0.15384615384615385||0.15384615384615385|||0.15384615384615385||t2|0.25|1|13|0.46153846153846156|4|29
birdstrikes1|0||0|||0||t2|0.0|0|27|0.8518518518518519|4|33
birdstrikes1|0||0|||0||t2|0.125|0|15|0.4|8|37
birdstrikes1|0||0|||0||t2|0.0|0|11|0.6363636363636364|4|53
birdstrikes1|0||0|||0||t2|0.3333333333333333|0|22|0.4090909090909091|6|57
birdstrikes1|0||0|||0||t2|0.0|0|9|0.3333333333333333|6|61
birdstrikes1|0||0|||0||t2|0.2|0|44|0.8636363636363636|5|73
birdstrikes1|0||0|||0||t2|0.0|0|19|0.7894736842105263|4|77
birdstrikes1|0||0|||0||t2|0.16666666666666666|0|17|0.4117647058823529|6|81
birdstrikes1|0||0|||0||t2|0.0|0|2|0.0|2|85
birdstrikes1|0||0|||0||t2|0.25|0|35|0.8|4|97
birdstrikes1|0||0|||0||t3|0.0|0|6|0.16666666666666666|5|01
birdstrikes1|0||0|||0||t3|0.0|0|25|0.6|9|05
birdstrikes1|0.1||0.09999999999999999|||0.1||t3|0.16666666666666666|6|20|0.2|6|09
birdstrikes1|0||0|||0||t3|0.25|0|40|0.675|8|109
birdstrikes1|0.14285714285714285||0.11904761904761904|||0.09523809523809523||t3|0.125|2|21|0.5238095238095238|8|13
birdstrikes1|0.08695652173913043||0.08695652173913043|||0.08695652173913043||t3|0.2727272727272727|2|23|0.30434782608695654|11|25
birdstrikes1|0||0|||0||t3|0.16666666666666666|0|17|0.5882352941176471|6|29
birdstrikes1|0||0|||0||t3|0.0|0|35|0.8571428571428571|5|33
birdstrikes1|0||0|||0||t3|0.16666666666666666|0|11|0.36363636363636365|6|37
birdstrikes1|0||0|||0||t3|0.14285714285714285|0|16|0.4375|7|53
birdstrikes1|0||0|||0||t3|0.0|0|14|0.7142857142857143|4|57
birdstrikes1|0||0|||0||t3|0.2857142857142857|0|27|0.5925925925925926|7|61
birdstrikes1|0.2631578947368421||0.2631578947368421|||0.2631578947368421||t3|0.1111111111111111|1|19|0.47368421052631576|9|73
birdstrikes1|0.13513513513513514||0.12162162162162163|||0.10810810810810811||t3|0.42857142857142855|2|37|0.5405405405405406|7|77
birdstrikes1|0||0|||0||t3|0.0|0|10|0.5|5|81
birdstrikes1|0.23076923076923078||0.23076923076923078|||0.23076923076923078||t3|0.25|1|13|0.23076923076923078|8|85
