dataset,sheets_strategy,task,total_columns,total_dimensions,total_interactions,total_measures,total_minutes,total_new_columns,total_new_columns_prompt_only,total_sheets,userid
birdstrikes1,,t4,9,5,39,4,8.833483333333334,5,8,1,25
birdstrikes1,,t4,6,4,21,2,9.131166666666667,5,5,5,13
birdstrikes1,,t4,10,9,24,1,12.152216666666668,6,7,1,01
birdstrikes1,,t4,13,11,37,2,8.602666666666666,9,10,1,05
birdstrikes1,,t4,7,6,44,1,8.3221,6,7,4,33
birdstrikes1,,t4,10,7,31,3,8.550616666666667,5,7,3,57
birdstrikes1,,t4,4,3,38,1,8.140083333333333,2,3,4,09
birdstrikes1,,t4,16,13,41,3,9.256233333333334,11,14,1,37
birdstrikes1,,t4,9,7,28,2,9.187433333333333,5,6,2,29
birdstrikes1,,t4,10,7,24,3,8.0815,9,9,1,53
birdstrikes1,,t4,7,5,40,2,10.091416666666667,5,6,7,77
birdstrikes1,,t4,3,2,14,1,7.106733333333334,0,1,1,61
birdstrikes1,,t4,6,3,23,3,18.747366666666668,1,3,1,109
birdstrikes1,,t4,13,12,36,1,9.042516666666668,8,10,1,73
birdstrikes1,,t4,9,5,22,4,8.2088,6,8,2,81
birdstrikes1,,t4,6,5,26,1,7.332333333333334,3,4,1,97
birdstrikes1,,t4,9,7,31,2,6.176266666666667,6,6,3,85
birdstrikes1,,t2,3,1,10,2,1.49975,0,0,2,25
birdstrikes1,,t2,4,1,16,3,6.2092833333333335,0,1,1,13
birdstrikes1,,t2,3,1,5,2,0.98425,0,0,1,01
birdstrikes1,,t2,3,1,10,2,2.717833333333333,0,0,1,05
birdstrikes1,,t2,3,1,27,2,5.5098,1,1,1,33
birdstrikes1,,t2,5,2,22,3,6.5841666666666665,2,2,1,57
birdstrikes1,,t2,5,2,21,3,6.4453000000000005,3,3,2,09
birdstrikes1,,t2,23,4,15,19,2.92965,18,20,1,37
birdstrikes1,,t2,2,1,13,1,5.157483333333333,0,0,1,29
birdstrikes1,,t2,3,1,11,2,3.8289166666666667,0,0,1,53
birdstrikes1,,t2,2,1,19,1,6.2343,0,0,1,77
birdstrikes1,,t2,6,1,9,5,1.41545,0,4,1,61
birdstrikes1,,t2,3,1,17,2,6.8741666666666665,1,1,1,109
birdstrikes1,,t2,3,1,44,2,7.671966666666666,0,0,1,73
birdstrikes1,,t2,17,1,17,16,5.039433333333333,10,14,1,81
birdstrikes1,,t2,3,1,35,2,8.081949999999999,0,0,1,97
birdstrikes1,,t2,1,1,2,0,2.8317166666666664,0,0,1,85
birdstrikes1,,t3,5,4,23,1,4.477016666666667,1,1,1,25
birdstrikes1,,t3,5,4,21,1,4.9647499999999996,1,1,2,13
birdstrikes1,,t3,4,3,6,1,2.8377499999999998,0,0,1,01
birdstrikes1,,t3,4,3,25,1,4.9924,0,0,2,05
birdstrikes1,,t3,3,3,35,0,5.069916666666667,0,0,1,33
birdstrikes1,,t3,3,2,14,1,4.20495,0,0,2,57
birdstrikes1,,t3,3,3,20,0,6.760283333333334,0,0,1,09
birdstrikes1,,t3,4,3,11,1,3.340316666666667,0,0,1,37
birdstrikes1,,t3,4,3,17,1,7.212833333333333,0,0,1,29
birdstrikes1,,t3,4,3,16,1,5.590083333333333,0,0,1,53
