dataset,task,userid,finishedTask,answerType
birdstrikes1,t1,01,True,1
birdstrikes1,t1,05,True,1
birdstrikes1,t1,09,True,2
birdstrikes1,t1,109,True,1
birdstrikes1,t1,13,True,1
birdstrikes1,t1,25,True,1
birdstrikes1,t1,29,True,1
birdstrikes1,t1,33,True,1
birdstrikes1,t1,37,True,1
birdstrikes1,t1,53,True,1
birdstrikes1,t1,57,True,1
birdstrikes1,t1,61,True,2
birdstrikes1,t1,73,True,1
birdstrikes1,t1,77,True,1
birdstrikes1,t1,81,True,1
birdstrikes1,t1,85,True,1
birdstrikes1,t1,97,True,1
birdstrikes1,t2,01,True,1
birdstrikes1,t2,05,False,
birdstrikes1,t2,09,True,1
birdstrikes1,t2,109,True,3
birdstrikes1,t2,13,True,5
birdstrikes1,t2,25,True,1
birdstrikes1,t2,29,True,1
birdstrikes1,t2,33,True,4
birdstrikes1,t2,37,True,1
birdstrikes1,t2,53,True,1
birdstrikes1,t2,57,True,4
birdstrikes1,t2,61,True,1
birdstrikes1,t2,73,True,4
birdstrikes1,t2,77,True,1
birdstrikes1,t2,81,True,1
birdstrikes1,t2,85,True,1
birdstrikes1,t2,97,True,2
birdstrikes1,t3,01,True,3
birdstrikes1,t3,05,True,2
birdstrikes1,t3,09,False,1
birdstrikes1,t3,109,False,1
birdstrikes1,t3,13,True,4
birdstrikes1,t3,25,True,2
birdstrikes1,t3,29,True,2
birdstrikes1,t3,33,True,1
birdstrikes1,t3,37,True,2
birdstrikes1,t3,53,True,2
birdstrikes1,t3,57,True,1
birdstrikes1,t3,61,True,3
birdstrikes1,t3,73,False,3
birdstrikes1,t3,77,False,1
birdstrikes1,t3,81,True,2
birdstrikes1,t3,85,False,1
birdstrikes1,t3,97,True,1
weather1,t1,01,False,
weather1,t1,05,True,2
weather1,t1,113,True,1
weather1,t1,117,True,1
weather1,t1,21,True,3
weather1,t1,25,True,1
weather1,t1,29,True,1
weather1,t1,41,True,1
weather1,t1,45,True,4
weather1,t1,53,True,1
weather1,t1,65,True,1
weather1,t1,69,True,1
weather1,t1,73,True,1
weather1,t1,77,True,1
weather1,t1,89,True,1
weather1,t1,93,True,3
weather1,t1,97,True,1
weather1,t2,01,True,2
weather1,t2,05,True,1
weather1,t2,113,False,
weather1,t2,117,True,3
weather1,t2,21,True,1
weather1,t2,25,True,1
weather1,t2,29,True,1
weather1,t2,41,True,1
weather1,t2,45,True,1
weather1,t2,53,True,1
weather1,t2,65,True,1
weather1,t2,69,True,1
weather1,t2,73,True,2
weather1,t2,77,True,1
weather1,t2,89,True,2
weather1,t2,93,False,
weather1,t2,97,True,1
weather1,t3,01,True,1
weather1,t3,05,True,2
weather1,t3,113,True,1
weather1,t3,117,True,2
weather1,t3,21,True,1
weather1,t3,25,True,2
weather1,t3,29,True,1
weather1,t3,41,False,
weather1,t3,45,True,2
weather1,t3,53,True,1
weather1,t3,65,False,
weather1,t3,69,False,
weather1,t3,73,True,1
weather1,t3,77,True,1
weather1,t3,89,True,1
weather1,t3,93,True,1
weather1,t3,97,True,1
faa1,t1,09,True,1
faa1,t1,109,False,
faa1,t1,113,True,2
faa1,t1,13,False,
faa1,t1,21,True,1
faa1,t1,33,True,1
faa1,t1,37,True,3
faa1,t1,41,False,
faa1,t1,45,True,3
faa1,t1,57,True,1
faa1,t1,61,True,1
faa1,t1,65,False,2
faa1,t1,69,True,1
faa1,t1,81,True,2
faa1,t1,85,False,
faa1,t1,89,False,
faa1,t1,93,True,2
faa1,t2,09,True,1
faa1,t2,109,True,1
faa1,t2,113,True,3
faa1,t2,13,True,2
faa1,t2,21,True,1
faa1,t2,33,True,2
faa1,t2,37,True,1
faa1,t2,41,True,1
faa1,t2,45,True,1
faa1,t2,57,True,1
faa1,t2,61,True,1
faa1,t2,65,True,1
faa1,t2,69,True,1
faa1,t2,81,True,1
faa1,t2,85,True,1
faa1,t2,89,True,1
faa1,t2,93,True,1
faa1,t3,09,True,7
faa1,t3,109,True,1
faa1,t3,113,True,4
faa1,t3,13,True,5
faa1,t3,21,True,3
faa1,t3,33,True,2
faa1,t3,37,True,6
faa1,t3,41,True,1
faa1,t3,45,True,1
faa1,t3,57,True,1
faa1,t3,61,True,1
faa1,t3,65,True,4
faa1,t3,69,False,
faa1,t3,81,True,5
faa1,t3,85,True,1
faa1,t3,89,True,1
faa1,t3,93,True,4
