dataset,sequenceLength,task,userid
birdstrikes1,1,t1,01
birdstrikes1,3,t1,01
birdstrikes1,3,t1,01
birdstrikes1,6,t1,05
birdstrikes1,4,t1,05
birdstrikes1,6,t1,05
birdstrikes1,1,t1,05
birdstrikes1,1,t1,05
birdstrikes1,4,t1,09
birdstrikes1,1,t1,09
birdstrikes1,6,t1,09
birdstrikes1,7,t1,09
birdstrikes1,2,t1,109
birdstrikes1,8,t1,109
birdstrikes1,1,t1,109
birdstrikes1,2,t1,13
birdstrikes1,15,t1,13
birdstrikes1,16,t1,25
birdstrikes1,4,t1,25
birdstrikes1,2,t1,25
birdstrikes1,1,t1,25
birdstrikes1,11,t1,25
birdstrikes1,9,t1,33
birdstrikes1,1,t1,33
birdstrikes1,2,t1,33
birdstrikes1,3,t1,37
birdstrikes1,3,t1,37
birdstrikes1,3,t1,53
birdstrikes1,2,t1,53
birdstrikes1,2,t1,53
birdstrikes1,15,t1,53
birdstrikes1,2,t1,57
birdstrikes1,12,t1,57
birdstrikes1,1,t1,61
birdstrikes1,15,t1,61
birdstrikes1,3,t1,61
birdstrikes1,8,t1,61
birdstrikes1,11,t1,61
birdstrikes1,1,t1,61
birdstrikes1,1,t1,61
birdstrikes1,3,t1,61
birdstrikes1,1,t1,61
birdstrikes1,5,t1,73
birdstrikes1,4,t1,73
birdstrikes1,2,t1,73
birdstrikes1,3,t1,77
birdstrikes1,6,t1,77
birdstrikes1,1,t1,77
birdstrikes1,1,t1,81
birdstrikes1,1,t1,81
birdstrikes1,5,t1,81
birdstrikes1,1,t1,81
birdstrikes1,1,t1,81
birdstrikes1,1,t1,97
birdstrikes1,1,t1,97
birdstrikes1,2,t2,01
birdstrikes1,1,t2,05
birdstrikes1,1,t2,05
birdstrikes1,3,t2,05
birdstrikes1,5,t2,09
birdstrikes1,3,t2,09
birdstrikes1,1,t2,09
birdstrikes1,4,t2,09
birdstrikes1,2,t2,109
birdstrikes1,2,t2,109
birdstrikes1,1,t2,109
birdstrikes1,3,t2,109
birdstrikes1,1,t2,109
birdstrikes1,1,t2,13
birdstrikes1,3,t2,13
birdstrikes1,2,t2,13
birdstrikes1,1,t2,13
birdstrikes1,5,t2,25
birdstrikes1,2,t2,25
birdstrikes1,6,t2,29
birdstrikes1,1,t2,29
birdstrikes1,2,t2,29
birdstrikes1,1,t2,33
birdstrikes1,5,t2,33
birdstrikes1,12,t2,33
birdstrikes1,5,t2,33
birdstrikes1,5,t2,37
birdstrikes1,1,t2,37
birdstrikes1,2,t2,37
birdstrikes1,2,t2,37
birdstrikes1,6,t2,53
birdstrikes1,1,t2,53
birdstrikes1,1,t2,53
birdstrikes1,3,t2,57
birdstrikes1,3,t2,57
birdstrikes1,2,t2,57
birdstrikes1,5,t2,57
birdstrikes1,2,t2,57
birdstrikes1,6,t2,61
birdstrikes1,7,t2,73
birdstrikes1,2,t2,73
birdstrikes1,2,t2,73
birdstrikes1,2,t2,73
birdstrikes1,5,t2,73
birdstrikes1,10,t2,73
birdstrikes1,2,t2,73
birdstrikes1,5,t2,73
birdstrikes1,1,t2,77
birdstrikes1,5,t2,77
birdstrikes1,5,t2,77
birdstrikes1,2,t2,77
birdstrikes1,1,t2,81
birdstrikes1,3,t2,81
birdstrikes1,5,t2,81
birdstrikes1,2,t2,97
birdstrikes1,7,t2,97
birdstrikes1,3,t2,97
birdstrikes1,4,t2,97
birdstrikes1,7,t2,97
birdstrikes1,5,t2,97
birdstrikes1,2,t3,01
birdstrikes1,1,t3,05
birdstrikes1,4,t3,05
birdstrikes1,1,t3,05
birdstrikes1,8,t3,05
birdstrikes1,2,t3,05
birdstrikes1,2,t3,05
birdstrikes1,2,t3,09
birdstrikes1,1,t3,09
birdstrikes1,1,t3,09
birdstrikes1,3,t3,09
birdstrikes1,7,t3,09
birdstrikes1,1,t3,109
birdstrikes1,1,t3,109
birdstrikes1,1,t3,109
birdstrikes1,2,t3,109
birdstrikes1,5,t3,109
birdstrikes1,21,t3,109
birdstrikes1,1,t3,13
birdstrikes1,1,t3,13
birdstrikes1,2,t3,13
birdstrikes1,1,t3,13
birdstrikes1,1,t3,13
birdstrikes1,4,t3,13
birdstrikes1,2,t3,13
birdstrikes1,1,t3,25
birdstrikes1,5,t3,25
birdstrikes1,9,t3,25
birdstrikes1,4,t3,29
birdstrikes1,1,t3,29
birdstrikes1,4,t3,29
birdstrikes1,9,t3,33
birdstrikes1,1,t3,33
birdstrikes1,7,t3,33
birdstrikes1,1,t3,33
birdstrikes1,12,t3,33
birdstrikes1,4,t3,37
birdstrikes1,1,t3,37
birdstrikes1,1,t3,37
birdstrikes1,2,t3,53
birdstrikes1,1,t3,53
birdstrikes1,1,t3,53
birdstrikes1,1,t3,53
birdstrikes1,1,t3,53
birdstrikes1,3,t3,57
birdstrikes1,1,t3,57
birdstrikes1,3,t3,57
birdstrikes1,1,t3,61
birdstrikes1,1,t3,61
birdstrikes1,2,t3,61
birdstrikes1,4,t3,61
birdstrikes1,7,t3,61
birdstrikes1,5,t3,61
birdstrikes1,4,t3,73
birdstrikes1,4,t3,73
birdstrikes1,3,t3,73
birdstrikes1,2,t3,73
birdstrikes1,5,t3,77
birdstrikes1,1,t3,77
birdstrikes1,8,t3,77
birdstrikes1,2,t3,77
birdstrikes1,6,t3,77
birdstrikes1,8,t3,77
birdstrikes1,2,t3,81
birdstrikes1,2,t3,81
birdstrikes1,1,t3,81
birdstrikes1,3,t3,85
birdstrikes1,2,t3,85
birdstrikes1,7,t3,97
birdstrikes1,3,t3,97
birdstrikes1,8,t3,97
birdstrikes1,4,t4,01
birdstrikes1,1,t4,01
